gene,baseMean,log2FoldChange,stat,pvalue,padj
ARHGEF2,105.82142668420146,-1.1083803237017902,-29.401377167168373,4.965202594310846e-07,0.007548100983871348
ZNF589,8.884427988410643,-0.693215043575119,-14.644657728348317,6.528711449754981e-06,0.011090700387030975
SPARCL1,42.84750712429543,4.002893252308128,17.640778523084393,2.1527413939068977e-06,0.011090700387030975
ABAT,24.343742951185977,0.8833316358658161,15.905098459740282,4.772576512649797e-06,0.011090700387030975
GASK1B,330.43605819068756,0.9382911569540555,14.935342700670093,7.295553471274158e-06,0.011090700387030975
KCTD9,80.86187562256853,0.6552007173306693,14.547936608101846,6.953323542416082e-06,0.011090700387030975
PER1,33.517611537871176,2.6432297586350444,15.760266247533622,5.491929136924269e-06,0.011090700387030975
APBB2,110.12959736765089,0.8245363022864733,14.705686351286856,6.220633972908945e-06,0.011090700387030975
MCHR1,0.28657341542672576,-0.6344940655038133,-25.33288181929616,5.621606882328014e-06,0.011090700387030975
NEXN,254.79776262187204,1.879933726548968,14.847563846876332,6.128352298924537e-06,0.011090700387030975
DUSP1,154.31117665205483,2.8446237634994107,14.717782315390162,8.388805027102065e-06,0.011293236324737535
AIFM2,27.381006166844227,0.6064036798245587,14.335293242366168,8.914539922171454e-06,0.011293236324737535
SLC35F6,47.6098895279427,0.23224199187669115,13.765317353045601,1.115888607162236e-05,0.013049029696984857
MINDY2,67.33382087455304,0.9603336570435923,13.950640883390491,1.2215769555592172e-05,0.013264580627436587
PPP1R12C,120.64752796118553,0.5916315552684175,14.567869458347634,1.5093600990150586e-05,0.015296861483484614
RAD1,47.486419250681415,0.6956828544847911,13.274122606074052,1.77755195620232e-05,0.015895496963639805
MORF4L2,228.0829584369932,0.9144430653994737,12.919236267297803,1.7758705785048557e-05,0.015895496963639805
PARLP2,0.7379926256480589,-0.39473949639004435,-12.06630317956092,2.1014642663864978e-05,0.01637634992127063
NBPF11,19.291094708050288,-0.6034854709004112,-14.480954956904696,2.2168188824738464e-05,0.01637634992127063
C1orf50,5.1956429730988845,-0.37892260646177833,-13.082893239454025,2.262224367495614e-05,0.01637634992127063
BRCA1,11.216079225573218,-1.3401819184992032,-16.38238150317164,2.0322528265334965e-05,0.01637634992127063
RAB7B,14.428786394383199,-1.6926473429797002,-14.467476124147547,2.4044898836336116e-05,0.016615025095908256
PNPLA2,120.06779184174658,1.0444051592706813,14.437413727786513,2.6790579971177203e-05,0.017707408553123298
TMEM119,136.46297060365842,-1.2476518574394806,-11.300093565263774,3.012806212222306e-05,0.01908361668258479
